Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,SecondsAfterSunRise,SecondsAfterSunSet
2.58,51,30.43,103,77.27,11.25,-22012,-67072
2.83,51,30.43,103,153.44,9.0,-21710,-66770
2.16,51,30.43,103,142.04,7.87,-20814,-65874
2.21,51,30.43,103,144.12,18.0,-20515,-65575
2.25,51,30.43,103,67.42,11.25,-20211,-65271
2.15,51,30.43,103,67.85,4.5,-19316,-64376
2.07,51,30.43,103,156.58,1.12,-19014,-64074
2.06,52,30.43,103,69.98,7.87,-18716,-63776
2.1,52,30.43,103,92.15,4.5,-18413,-63473
2.07,52,30.42,103,68.17,4.5,-18115,-63175
2.1,51,30.42,103,158.06,4.5,-17814,-62874
2.4,51,30.42,103,39.69,3.37,-17506,-62566
2.06,51,30.42,103,183.01,7.87,-17217,-62277
3.55,51,30.42,103,112.42,4.5,-16914,-61974
3.63,52,30.41,103,79.47,3.37,-16612,-61672
3.76,52,30.41,103,134.44,10.12,-16316,-61376
3.25,52,30.42,103,81.23,3.37,-16013,-61073
3.9,52,30.41,103,270.48,5.62,-15712,-60772
3.13,51,30.41,103,170.97,5.62,-15377,-60437
3.37,51,30.42,103,66.06,5.62,-15116,-60176
3.51,51,30.41,103,135.75,14.62,-14815,-59875
2.84,51,30.41,103,127.54,12.37,-14515,-59575
3.26,51,30.41,103,158.09,4.5,-14211,-59271
2.57,51,30.41,103,131.57,12.37,-13917,-58977
2.58,51,30.41,103,166.75,7.87,-13612,-58672
3.24,51,30.4,103,109.84,9.0,-13314,-58374
2.87,51,30.4,103,143.65,14.62,-13014,-58074
2.52,51,30.4,103,105.55,5.62,-12710,-57770
2.74,51,30.4,103,117.72,11.25,-12411,-57471
2.3,51,30.4,103,119.72,12.37,-12116,-57176
2.25,51,30.4,103,164.35,9.0,-11813,-56873
2.12,51,30.4,103,156.3,2.25,-11516,-56576
1.94,51,30.4,103,87.85,4.5,-10915,-55975
2.03,51,30.4,103,77.73,7.87,-10614,-55674
2.26,51,30.4,103,90.87,1.12,-10314,-55374
2.27,51,30.4,103,78.56,9.0,-10012,-55072
2.63,51,30.4,103,69.28,2.25,-9708,-54768
2.93,51,30.4,103,78.66,4.5,-9415,-54475
2.59,51,30.4,103,51.52,5.62,-9113,-54173
2.83,51,30.4,102,97.24,6.75,-8812,-53872
2.17,51,30.4,102,80.72,6.75,-8513,-53573
2.12,50,30.4,102,101.26,9.0,-8216,-53276
2.02,50,30.4,102,168.14,3.37,-7908,-52968
1.69,50,30.4,102,130.43,10.12,-7616,-52676
2.03,49,30.4,102,145.36,7.87,-7313,-52373
3.35,49,30.4,102,67.42,7.87,-7017,-52077
2.34,49,30.41,102,133.75,9.0,-6716,-51776
2.2,49,30.41,102,112.54,9.0,-6416,-51476
2.63,49,30.41,102,125.24,12.37,-6117,-51177
3.2,49,30.41,102,150.52,5.62,-5817,-50877
2.85,49,30.41,102,121.97,6.75,-5516,-50576
2.38,49,30.41,102,132.09,6.75,-5213,-50273
2.67,49,30.41,102,94.79,1.12,-4912,-49972
3.22,49,30.41,102,80.05,2.25,-4613,-49673
2.73,49,30.41,102,123.83,16.87,-4315,-49375
1.61,49,30.42,102,155.32,3.37,-4009,-49069
